type;T;p;size;result
openmp;103.835305;2;200000000;11078937 
openmp;103.990995;2;200000000;11078937
openmp;103.893043;2;200000000;11078937 
openmp;105.182884;2;200000000;11078937 
openmp;110.574949;2;200000000;11078937
openmp;108.899464;2;200000000;11078937
openmp;107.246439;2;200000000;11078937 
openmp;103.406227;2;200000000;11078937 
openmp;106.534948;2;200000000;11078937 
openmp;104.927855;2;200000000;11078937
mpi;102.158301;2;200000000;11078937
mpi;107.242106;2;200000000;11078937
mpi;94.053891;2;200000000;11078937
mpi;105.756625;2;200000000;11078937
mpi;116.608181;2;200000000;11078937
mpi;111.480202;2;200000000;11078937
mpi;113.003899;2;200000000;11078937
mpi;115.275897;2;200000000;11078937
mpi;116.302953;2;200000000;11078937 
hybrid;109.543891;2;200000000;11078937 
hybrid;120.434791;2;200000000;11078937 
hybrid;120.735047;2;200000000;11078937 
hybrid;120.473087;2;200000000;11078937
hybrid;118.588691;2;200000000;11078937
hybrid;120.766252;2;200000000;11078937
hybrid;118.716181;2;200000000;11078937
hybrid;118.120451;2;200000000;11078937
hybrid;117.870559;2;200000000;11078937
hybrid;117.870559;2;200000000;11078937
hybrid;117.580901;2;200000000;11078937
openmp;146.471797;4;400000000;21336326 
openmp;145.777456;4;400000000;21336326 
openmp;146.085238;4;400000000;21336326  
openmp;140.823830;4;400000000;21336326  
openmp;137.665209;4;400000000;21336326 
openmp;135.791556;4;400000000;21336326 
openmp;144.172659;4;400000000;21336326 
openmp;142.662881;4;400000000;21336326  
openmp;142.478264;4;400000000;21336326  
openmp144.502658;4;400000000;21336326 
mpi;152.516570;4;400000000;21336326 
mpi;151.161258;4;400000000;21336326 
mpi;153.329193;4;400000000;21336326 
mpi;148.131110;4;400000000;21336326 
mpi;153.775737;4;400000000;21336326 
mpi;148.849849;4;400000000;21336326 
mpi;150.112001;4;400000000;21336326 
mpi;151.023567;4;400000000;21336326 
mpi;153.853542;4;400000000;21336326 
mpi;150.559803;4;400000000;21336326 
hybrid;32.560378;4;400000000;21336326 
hybrid;37.021518;4;400000000;21336326 
hybrid;28.625983;4;400000000;21336326 
hybrid;37.411712;4;400000000;21336326 
hybrid;37.625766;4;400000000;21336326 
hybrid;37.460402;4;400000000;21336326 
hybrid;30.121612;4;400000000;21336326 
hybrid;37.694542;4;400000000;21336326 
hybrid;37.817819;4;400000000;21336326 
hybrid;36.439881;4;400000000;21336326 
openmp;198.213736;8;800000000;41146179 
openmp;189.740130;8;800000000;41146179
openmp;204.954878;8;800000000;41146179
openmp;205.792647;8;800000000;41146179
openmp;202.310900;8;800000000;41146179
openmp;204.401855;8;800000000;41146179
openmp;190.481225;8;800000000;41146179
openmp;203.338814;8;800000000;41146179
openmp;205.039825;8;800000000;41146179
openmp;197.481951;8;800000000;41146179
mpi;203.430807;8;800000000;41146179
mpi;208.964739;8;800000000;41146179
mpi;205.436220;8;800000000;41146179
mpi;201.802999;8;800000000;41146179
mpi;202.427700;8;800000000;41146179
mpi;208.101427;8;800000000;41146179
mpi;205.912620;8;800000000;41146179
mpi;208.531032;8;800000000;41146179
mpi;211.849628;8;800000000;41146179
mpi;197.225794;8;800000000;41146179
hybrid;97.487205;8;800000000;41146179
hybrid;96.092163;8;800000000;41146179
hybrid;85.478725;8;800000000;41146179
hybrid;94.659749;8;800000000;41146179
hybrid;97.023975;8;800000000;41146179
hybrid;98.234473;8;800000000;41146179
hybrid;93.710672;8;800000000;41146179
hybrid;98.439684;8;800000000;41146179
hybrid;97.056125;8;800000000;41146179
hybrid;97.559894;8;800000000;41146179
openmp;315.974366;16;1600000000;79451833 
openmp;315.138592;16;1600000000;79451833 
openmp;314.775905;16;1600000000;79451833 
openmp;315.400264;16;1600000000;79451833 
openmp;297.705398;16;1600000000;79451833 
openmp;318.466106;16;1600000000;79451833 
openmp;295.490817;16;1600000000;79451833 
openmp278.720854;16;1600000000;79451833 
openmp;297.562872;16;1600000000;79451833  
openmp;314.862542;16;1600000000;79451833 
mpi;285.496611;16;1600000000;79451833 
mpi;283.759403;16;1600000000;79451833 
mpi;286.141080;16;1600000000;79451833 
mpi;284.077757;16;1600000000;79451833 
mpi;282.446381;16;1600000000;79451833 
mpi;299.818981;16;1600000000;79451833 
mpi;283.805307;16;1600000000;79451833 
mpi;298.508317;16;1600000000;79451833 
mpi;282.228128;16;1600000000;79451833 
mpi;286.506036;16;1600000000;79451833 
hybrid;253.058196;16;1600000000;79451833 
hybrid;254.228811;16;1600000000;79451833 
hybrid;252.998070;16;1600000000;79451833 
hybrid;254.842408;16;1600000000;79451833 
hybrid;254.793637;16;1600000000;79451833 
hybrid;253.522602;16;1600000000;79451833 
hybrid;251.843697;16;1600000000;79451833 
