type,p,T,size,result,speed_up,efficiency
hybrid,2,42.762949,100000000,5761455,1.6925788958100154,84.62894479050077
hybrid,3,15.715624,100000000,5761455,4.60558645332823,153.51954844427433
hybrid,4,11.711095,100000000,5761455,6.180435305152934,154.51088262882337
hybrid,5,9.685474,100000000,5761455,7.473012162337126,149.46024324674252
hybrid,6,8.195771,100000000,5761455,8.83134301824685,147.18905030411415
hybrid,7,7.406621,100000000,5761455,9.772292250406764,139.6041750058109
hybrid,8,6.43834,100000000,5761455,11.24197619262108,140.5247024077635
hybrid,9,5.886503,100000000,5761455,12.29586819203184,136.62075768924268
hybrid,10,5.322901,100000000,5761455,13.597785305418983,135.97785305418984
hybrid,11,5.090564,100000000,5761455,14.218398000693048,129.25816364266407
hybrid,12,4.671822,100000000,5761455,15.492813082347745,129.1067756862312
hybrid,13,4.378928,100000000,5761455,16.52908314546391,127.14679342664547
hybrid,14,4.063362,100000000,5761455,17.812753330862474,127.23395236330339
hybrid,15,3.965817,100000000,5761455,18.250883739718702,121.67255826479135
hybrid,16,3.695422,100000000,5761455,19.586305704734126,122.4144106545883
mpi,2,36.746874,100000000,5761455,1.9696822374605254,98.48411187302627
mpi,3,25.880808,100000000,5761455,2.796653991637356,93.22179972124519
mpi,4,22.039501,100000000,5761455,3.284088192377858,82.10220480944645
mpi,5,17.838013,100000000,5761455,4.0576080418822436,81.15216083764487
mpi,6,15.08173,100000000,5761455,4.799161966167011,79.98603276945019
mpi,7,12.936471,100000000,5761455,5.595008484153059,79.92869263075798
mpi,8,11.479943,100000000,5761455,6.304880172314444,78.81100215393056
mpi,9,10.15851,100000000,5761455,7.125027686146886,79.16697429052095
mpi,10,9.126191,100000000,5761455,7.930982925954541,79.30982925954541
mpi,11,8.532759,100000000,5761455,8.482562908433252,77.11420825848411
mpi,12,7.763797,100000000,5761455,9.322714774742307,77.68928978951922
mpi,13,7.177007,100000000,5761455,10.084937216864914,77.5764401297301
mpi,14,6.726539,100000000,5761455,10.760312993056312,76.8593785218308
mpi,15,6.617141,100000000,5761455,10.938208056923678,72.92138704615785
mpi,16,6.057528,100000000,5761455,11.948713237479053,74.67945773424408
openmp,2,40.008658,100000000,5761455,1.809100045295196,90.4550022647598
openmp,3,27.260211,100000000,5761455,2.655139573204331,88.50465244014435
openmp,4,21.77001,100000000,5761455,3.324741927082257,83.11854817705643
openmp,5,18.709427,100000000,5761455,3.868620081202914,77.37240162405828
openmp,6,16.404498,100000000,5761455,4.412184085121044,73.53640141868408
openmp,7,13.228338,100000000,5761455,5.471561506819677,78.16516438313825
openmp,8,12.177388,100000000,5761455,5.9437758737752295,74.29719842219036
openmp,9,12.116692,100000000,5761455,5.973549959015217,66.3727773223913
openmp,10,11.449833,100000000,5761455,6.321460321735697,63.21460321735697
openmp,11,10.212131,100000000,5761455,7.087616189020686,64.4328744456426
openmp,12,9.754698,100000000,5761455,7.419980095744636,61.83316746453863
openmp,13,10.352599,100000000,5761455,6.9914487173703925,53.78037474900302
openmp,14,9.108507,100000000,5761455,7.946380784468849,56.75986274620607
openmp,15,9.590617,100000000,5761455,7.546924770324996,50.31283180216665
openmp,16,8.847957,100000000,5761455,8.180381640643146,51.127385254019664
